Y,X1,X2,X3
312978600,958,825,396
2756082,633,311,14
81419820,641,348,365
174580560,990,268,658
431454549,953,659,687
292748736,592,812,609
116778252,548,849,251
2136420,390,6,913
3254654,26,151,829
116337936,748,997,156
1017520,460,14,158
201030830,494,755,539
226338,951,14,17
691607784,959,796,906
560159280,652,860,999
105030900,650,573,282
99650430,573,186,935
469577360,865,592,917
138180,658,15,14
123001242,301,507,806
132317952,384,377,914
146906280,888,269,615
31143936,548,768,74
37177884,174,447,478
5522760,23,261,920
85948928,349,296,832
5612040,131,952,45
79942500,646,250,495
25086999,389,581,111
65107080,120,811,669
44675568,828,658,82
54674816,64,878,973
101124330,345,466,629
527234382,873,691,874
192525984,393,972,504
469779120,596,906,870
210691250,995,770,275
374537900,649,580,995
4717950,150,443,71
156929664,608,822,314
355642560,708,560,897
120348510,302,857,465
668131807,989,811,833
35151816,994,42,842
161398512,472,471,726
89811000,408,375,587
469499520,965,672,724
7551360,24,570,552
591066288,912,673,963
221761620,906,995,246
198483876,724,747,367
79572570,259,770,399
19291272,182,146,726
44717400,637,468,150
15361626,318,103,469
36415028,949,724,53
39698890,430,109,847
15658565,409,65,589
67846320,306,230,964
186035080,418,578,770
107155584,974,192,573
4998000,280,510,35
157524480,848,540,344
15372000,305,75,672
40891914,217,261,722
46824773,127,733,503
17326912,184,158,596
311185056,537,728,796
297510,10,141,211
64964375,479,875,155
543849120,720,961,786
55245000,375,635,232
313930296,428,846,867
468805625,827,907,625
3730688,118,988,32
291753436,481,694,874
529131804,789,862,778
55964372,421,199,668
7690800,130,136,435
11369808,279,72,566
253355333,959,517,511
89048742,491,543,334
222296315,709,365,859
505116720,639,964,820
281980140,718,741,530
6128496,657,212,44
4341120,42,320,323
77517648,774,214,468
67306360,970,166,418
178235820,765,742,314
142620723,763,387,483
113391872,536,352,601
528356322,762,773,897
107927904,749,632,228
16219896,67,917,264
10444002,579,622,29
100224000,900,174,640
89831730,645,166,839
29831256,942,87,364
112569428,586,691,278
11786852,539,308,71
12744270,613,55,378
12550437,37,739,459
16595520,60,293,944
22022000,208,385,275
127956158,503,746,341
45979488,81,584,972
25953798,221,851,138
228170046,457,962,519
12463360,455,856,32
11403288,39,786,372
113463168,714,382,416
180596480,398,640,709
52687456,898,772,76
294534240,840,613,572
69860016,414,712,237
9972071,211,167,283
110318184,146,906,834
25974828,737,178,198
30189040,259,496,235
31525392,123,332,772
81127200,420,220,878
3042900,441,10,690
13651176,231,89,664
55491150,286,325,597
50508000,549,250,368
500955472,956,974,538
109028752,662,173,952
7291744,358,67,304
30003264,144,582,358
35794248,302,581,204
2122758,151,213,66
8473500,538,70,225
2305472,326,136,52
49119367,383,979,131
10174425,75,293,463
294391510,614,721,665
28951555,127,359,635
104070582,594,567,309
386439520,895,824,524
8209344,286,138,208
7943100,83,132,725
106390272,874,951,128
53930772,189,516,553
12238800,658,465,40
343213248,784,573,764
108181440,720,659,228
6310432,107,194,304
202086540,556,369,985
83224554,229,509,714
103039758,746,927,149
107971794,379,798,357
758205000,875,870,996
173165850,507,495,690
4128894,33,993,126
520782640,655,868,916
41310720,480,176,489
501192692,533,994,946
16462800,255,538,120
396606,98,71,57
62667000,550,211,540
81354910,845,161,598
102121560,733,645,216
283315920,942,730,412
27517560,799,84,410
64360296,728,423,209
35619480,72,767,645
39657060,345,309,372
53488188,459,332,351
316498000,752,455,925
5566400,710,112,70
56743392,829,496,138
148482648,738,716,281
63478125,925,375,183
72951840,433,702,240
136323000,765,792,225
457910640,792,895,646
467910650,691,934,725
161293,43,11,341
457585296,788,868,669
102170420,844,781,155
47877984,127,748,504
72752064,448,777,209
17283942,377,81,566
34538784,824,998,42
207648625,703,425,695
386484408,678,804,709
16645824,676,81,304
5804310,85,599,114
44118000,817,400,135
11143570,103,349,310
7673400,870,245,36
26036670,921,55,514
18505725,175,303,349
11391030,210,441,123
87373872,186,888,529
35835150,897,425,94
19696025,185,535,199
131295168,912,258,558
162982488,947,426,404
1165560,883,11,120
399212170,890,973,461
10510344,38,351,788
267866340,980,537,509
135392880,609,280,794
267185296,437,742,824
302169084,731,703,588
770824365,915,983,857
9334038,107,217,402
240974802,467,526,981
6956400,51,220,620
626080,14,520,86
18214616,76,901,266
35620896,472,993,76
4755240,629,756,10
1578876,26,698,87
7251024,93,886,88
231133875,461,955,525
179938710,315,901,634
113089302,521,778,279
131664228,811,978,166
31146635,397,85,923
340362372,357,989,964
84474510,181,705,662
16515330,901,282,65
111884640,804,497,280
39221000,650,431,140
312367930,574,635,857
88329654,731,294,411
26203008,174,181,832
285104760,545,568,921
120189630,870,209,661
4981812,517,33,292
4999280,40,143,874
333522855,751,639,695
56315220,260,411,527
165248640,288,876,655
279610330,922,463,655
35931440,610,296,199
16456806,237,978,71
52099740,179,660,441
86674016,676,682,188
51676086,319,609,266
726144,732,124,8
38314080,560,362,189
176338800,550,584,549
41059025,101,805,505
11698075,25,953,491
402300,108,5,745
41035764,499,231,356
105460460,305,371,932
610061760,924,720,917
24060992,752,76,421
328256496,862,387,984
1549548,66,26,903
123607650,445,591,470
3494480,38,190,484
159390000,825,483,400
5482192,82,548,122
43767150,511,571,150
7022176,329,464,46
80335624,151,911,584
26687232,648,858,48
89739000,585,236,650
429647400,854,516,975
106136879,271,857,457
97708793,637,157,977
61384896,912,213,316
27093050,361,395,190
525866848,848,793,782
125954224,946,748,178
247093770,686,555,649
396895680,647,639,960
26359609,397,991,67
134697300,932,205,705
50295168,192,378,693
133408314,403,477,694
63845010,405,529,298
18309291,169,539,201
26082162,243,178,603
94843023,583,257,633
7161000,132,175,310
291398496,799,928,393
5293197,897,7,843
3037050,397,150,51
111424625,359,955,325
112478400,876,214,600
26896590,105,798,321
235015812,314,774,967
121131918,963,218,577
155842596,273,909,628
113745989,863,133,991
19880640,354,288,195
72035494,367,391,502
14044596,498,59,478
5765340,140,777,53
102714600,965,887,120
356626,617,17,34
45879636,503,132,691
212382450,315,706,955
39369330,342,299,385
95597040,245,528,739
114373854,831,174,791
146044416,752,867,224
41640192,992,583,72
33874075,635,235,227
44843280,680,758,87
398151936,864,844,546
15284152,281,104,523
139664000,602,250,928
442113084,641,714,966
2919330,9,398,815
84774030,393,265,814
192254938,289,974,683
113938326,457,513,486
16502080,32,695,742
114093252,156,987,741
99465912,532,663,282
31884244,868,337,109
1138960,20,92,619
225222120,405,986,564
14501102,191,319,238
7729526,691,14,799
69468324,677,204,503
221568920,668,809,410
130881828,847,489,316
34955550,75,486,959
360568600,749,830,580
350736750,571,702,875
13527240,349,456,85
19718991,141,369,379
46095777,949,257,189
650012160,960,904,749
220336896,696,761,416
131151945,829,159,995
430284960,720,837,714
184189800,285,856,755
9229950,86,795,135
30005456,797,52,724
106325274,253,787,534
182498800,740,418,590
118455000,250,894,530
792040788,902,966,909
3932712,18,378,578
116369000,275,596,710
186954579,613,927,329
24889788,511,738,66
108691744,584,391,476
302590783,941,713,451
472545560,634,830,898
461660738,943,578,847
290109624,647,476,942
49368864,159,496,626
72333152,542,878,152
15530690,842,35,527
199440,5,554,72
288964320,976,426,695
258583800,683,600,631
318781008,848,819,459
244812546,849,514,561
176840664,663,866,308
61206288,481,132,964
61464000,780,200,394
745920,960,777,1
125092869,913,327,419
27914458,209,467,286
128109345,739,195,889
10156110,23,615,718
56948760,197,990,292
176713623,513,391,881
180966960,232,810,963
807612,167,12,403
31813284,362,906,97
15999578,562,343,83
128140560,570,493,456
316258632,537,926,636
3777385,365,79,131
103049496,948,891,122
106822056,417,902,284
93534976,232,586,688
14383008,124,162,716
720046800,957,855,880
33957231,959,111,319
2984496,641,16,291
225313704,437,616,837
86547384,233,693,536
98639125,505,325,601
100654400,400,602,418
5833872,127,87,528
3227581,199,331,49
140625144,264,641,831
12487410,130,117,821
237897,979,243,1
488562228,759,679,948
79584232,776,299,343
22314600,770,60,483
20424474,279,294,249
22116591,441,229,219
388158254,947,601,682
12720192,32,683,582
38862408,431,578,156
31680880,74,695,616
11621376,78,768,194
18296796,609,812,37
490190085,965,693,733
23014530,486,861,55
634360194,778,897,909
8861600,53,190,880
249982598,353,802,883
311620500,563,820,675
177368724,327,732,741
207930000,300,956,725
417896960,640,754,866
2400530,278,55,157
75421140,93,989,820
17085642,46,769,483
152991720,354,441,980
330100560,724,894,510
462894700,983,554,850
25720266,93,967,286
172804968,563,812,378
1180245,33,311,115
142421280,535,376,708
52726944,212,516,482
22690332,677,798,42
138869192,149,952,979
146052560,712,730,281
14395188,298,83,582
7343280,124,282,210
62525200,950,866,76
9290772,289,846,38
221261460,510,931,466
141494400,510,408,680
15470598,803,26,741
6363000,303,840,25
222352554,578,397,969
44341440,160,418,663
31667440,193,586,280
2216360,8,827,335
61961328,748,767,108
1749888,196,558,16
4127760,540,49,156
60646117,157,973,397
9369990,278,35,963
278390034,951,702,417
381868080,836,662,690
2600416,56,988,47
100435768,244,554,743
180463888,409,506,872
47345960,530,92,971
167096550,535,870,359
68279120,104,791,830
37810176,136,543,512
23459184,612,74,518
208786233,293,883,807
398893040,728,785,698
48478059,219,889,249
27465680,253,944,115
81856845,189,485,893
22523760,144,287,545
57387897,87,707,933
216367200,954,420,540
369653301,547,729,927
244852080,569,978,440
26984448,64,432,976
12018864,412,78,374
177625830,755,678,347
173024622,647,358,747
37044376,508,202,361
445575865,833,595,899
86826285,735,169,699
96354375,625,767,201
19126800,330,315,184
19539520,793,308,80
178352928,711,288,871
205262400,960,745,287
22528040,115,376,521
10869930,381,951,30
24844416,194,928,138
10097742,262,443,87
294040110,410,777,923
344256472,668,917,562
1057728,672,787,2
2323335,327,29,245
454650108,766,759,782
246189294,841,351,834
268320000,645,650,640
247325454,927,839,318
49568792,959,71,728
132415920,280,774,611
106753660,244,635,689
3522274,101,53,658
64259232,229,296,948
43802760,921,58,820
173942676,446,461,846
81237420,267,461,660
53127312,476,142,786
382109000,950,455,884
93755835,457,423,485
20450080,31,665,992
13494000,173,150,520
3499008,51,536,128
83555323,479,527,331
129216384,927,363,384
165003831,333,993,499
518288343,659,951,827
323760,5,76,852
333354312,888,787,477
60454232,236,526,487
16863600,780,470,46
3488408,44,98,809
7143468,323,194,114
7639528,136,149,377
51179520,672,112,680
197003560,914,829,260
32376720,626,431,120
19002660,633,790,38
236096980,530,658,677
131295230,554,695,341
44071302,583,86,879
36121960,497,395,184
48645636,289,338,498
22957920,107,720,298
3243600,17,450,424
15047604,286,711,74
110317156,601,436,421
10199136,262,48,811
55250442,78,817,867
2206260,103,140,153
9776376,107,94,972
106252660,755,233,604
3341844,873,6,638
6466460,70,187,494
12868310,182,179,395
65096416,464,911,154
102268000,740,200,691
80205060,961,130,642
24160500,250,767,126
17657520,118,232,645
100724400,245,571,720
103585169,293,437,809
142231460,349,820,497
192299667,609,553,571
26110440,410,116,549
100363200,406,309,800
6718318,101,158,421
47453120,374,130,976
3540480,384,922,10
23463440,293,715,112
230782055,977,397,595
66849792,192,752,463
34863192,357,313,312
36992844,313,588,201
121237582,386,709,443
62447616,264,616,384
71978430,422,685,249
269821456,314,922,932
11826360,210,722,78
1029600,104,99,100
27449136,117,248,946
84431928,714,799,148
12132900,25,612,793
2900928,232,521,24
395841600,918,539,800
248728872,868,293,978
434587172,878,758,653
127719981,389,573,573
501599306,962,607,859
17841252,407,562,78
556267800,947,600,979
84109272,534,932,169
44353640,482,860,107
50265600,320,264,595
20828798,73,358,797
37013964,156,821,289
164587644,871,543,348
17701992,412,99,434
140888800,589,368,650
148689060,381,494,790
215443800,930,234,990
53096610,834,535,119
23038230,227,199,510
60080058,887,426,159
2529600,31,340,240
74042640,581,236,540
68029852,883,103,748
79820100,666,255,470
311681440,955,329,992
787968,48,288,57
341661610,779,719,610
85496040,263,344,945
3080298,17,606,299
2330208,62,48,783
94434840,360,277,947
61159350,942,245,265
468747000,972,750,643
295803900,999,350,846
46462980,769,795,76
434821504,824,559,944
212540562,442,529,909
43770056,878,484,103
317699910,439,946,765
115183453,209,601,917
160722512,808,271,734
288300,75,31,124
286670265,653,565,777
113073750,690,285,575
5964400,31,520,370
90956838,857,361,294
2213900,169,131,100
177829344,594,648,462
37012572,108,881,389
1025640,630,148,11
111682095,623,285,629
35125090,143,319,770
36594376,637,172,334
1865376,51,72,508
472233344,748,724,872
252769920,520,533,912
37909805,229,293,565
38103025,193,745,265
4812096,568,706,12
188185725,909,845,245
438890046,707,942,659
3078144,501,96,64
29937816,124,526,459
32278410,146,289,765
11759440,14,913,920
32337468,459,412,171
233239359,569,417,983
177166500,718,470,525
37886760,456,573,145
35661120,120,614,484
106696674,329,774,419
80973558,387,898,233
60274200,127,600,791
98277120,720,152,898
75038600,637,124,950
50288280,914,655,84
527556512,697,868,872
41516748,897,114,406
113564676,244,501,929
1442259,587,91,27
106869888,544,459,428
25824960,315,168,488
162894600,396,475,866
300412800,760,732,540
20393898,21,977,994
92775144,231,823,488
290317120,376,776,995
69684615,715,273,357
1103856,793,2,696
324804942,529,693,886
108330312,348,491,634
125980911,441,617,463
9327360,80,694,168
153304096,374,748,548
251078206,514,661,739
59362196,412,149,967
243773712,318,936,819
941222,34,893,31
25254040,95,404,658
379491190,862,521,845
386400,560,690,1
13353534,153,289,302
112240128,728,352,438
325448850,782,465,895
123688640,445,808,344
218601664,334,724,904
15430800,44,700,501
204951708,513,788,507
1183750,625,2,947
13560050,371,86,425
412786044,561,757,972
233457798,994,237,991
35113120,214,560,293
79375275,157,525,963
42800780,514,757,110
91337904,333,434,632
7980950,31,950,271
51054078,257,226,879
499572502,841,806,737
111943975,173,715,905
216573480,438,670,738
57663711,131,959,459
165601600,580,430,664
16848690,353,74,645
136116288,248,594,924
18504960,395,122,384
83224048,382,964,226
211137960,485,561,776
168339048,647,879,296
255211056,393,996,652
11385000,230,150,330
62366304,363,208,826
106022280,511,760,273
487245570,718,805,843
858312,252,131,26
417567370,886,779,605
100883160,817,441,280
232346880,747,384,810
114763968,614,944,198
24911754,362,203,339
23008050,897,150,171
22054392,124,738,241
10555776,672,924,17
147247185,885,439,379
102687264,519,229,864
59524200,438,151,900
135992040,620,526,417
1077804,49,282,78
422470026,782,963,561
203270496,442,536,858
222342456,889,408,613
94451280,538,308,570
39476040,523,740,102
9029297,179,691,73
