Y,X1,X2,X3
6935040,256,430,63
22360320,90,384,647
7236735,719,165,61
69663680,160,743,586
76288268,743,266,386
335296,992,1,338
284960823,623,483,947
201361086,883,738,309
242853940,865,542,518
65173920,420,238,652
260169000,975,280,953
501600000,704,750,950
43555904,76,784,731
365976884,497,884,833
24980592,78,602,532
9729000,360,115,235
85697040,681,605,208
1085535,645,33,51
162143520,861,535,352
64465170,105,946,649
39917634,582,107,641
4962372,326,86,177
20116080,402,278,180
214300540,545,998,394
53136384,706,784,96
15764832,228,402,172
9643680,724,333,40
27172800,222,160,765
80550600,898,156,575
142022580,294,938,515
139171851,819,239,711
339832830,610,699,797
3481920,312,12,930
237373488,792,554,541
559371406,803,919,758
51465120,867,106,560
320497700,940,485,703
629706,329,11,174
5132862,734,37,189
221317680,496,985,453
25376000,610,325,128
512164950,646,961,825
264154100,658,434,925
264640915,385,869,791
1535688,72,277,77
36706230,935,54,727
2621988,36,173,421
2694004,61,724,61
357762370,830,973,443
141082216,937,638,236
49073310,403,410,297
176785530,843,626,335
196913388,964,213,959
613560090,895,799,858
169411125,885,247,775
176584252,494,734,487
174185160,380,482,951
63580320,659,120,804
39570336,624,542,117
3753057,11,633,539
66966336,422,232,684
365532895,637,785,731
12739100,55,740,313
361737376,598,982,616
14778525,255,173,335
11024640,528,120,174
65269260,465,557,252
60412050,85,894,795
151646976,192,996,793
385485642,954,969,417
42011424,84,687,728
302238400,764,688,575
325998108,961,349,972
129874500,620,665,315
17138040,680,93,271
233741464,946,277,892
443088894,778,829,687
15761616,536,507,58
97097088,508,543,352
7559244,63,132,909
14880540,263,460,123
98417962,379,827,314
21103764,319,111,596
101093415,489,239,865
24009216,348,77,896
80140650,415,471,410
63098838,407,297,522
7428168,132,249,226
129651250,515,950,265
530883976,667,932,854
26507844,132,477,421
48368544,862,112,501
101576241,587,783,221
46597216,878,214,248
89631590,617,146,995
14968800,135,560,198
58244505,155,649,579
103611200,176,700,841
195879912,852,278,827
136535550,730,555,337
69421528,568,451,271
260705460,915,652,437
83869968,364,633,364
331641450,525,829,762
13702344,398,151,228
57772872,184,783,401
113464290,578,569,345
12263755,217,635,89
243653540,923,394,670
17729808,134,148,894
352847301,563,879,713
7205332,113,839,76
146822880,570,272,947
12467724,149,114,734
43440100,187,404,575
67267530,426,165,957
24586203,951,251,103
170046540,540,321,981
4711446,687,254,27
338173000,433,781,1000
1652000,560,50,59
189451360,610,752,413
223069376,842,974,272
2513004,181,267,52
278668544,704,422,938
4948208,397,152,82
1488960,846,20,88
35570304,528,802,84
190275840,996,398,480
336407040,512,837,785
50512140,166,322,945
461240040,895,872,591
155879734,877,982,181
87632272,728,139,866
160002090,655,331,738
3354780,897,85,44
586753560,876,807,830
38800080,120,506,639
308151,909,1,339
60231600,650,858,108
96168624,692,939,148
25493500,335,100,761
151629280,880,202,853
80871714,171,518,913
732544,776,118,8
17034948,522,441,74
490742792,941,893,584
47273455,839,191,295
482585242,977,982,503
191410560,608,594,530
56246400,360,504,310
21529500,50,465,926
227441400,562,426,950
152774900,379,725,556
10615972,58,529,346
283185000,625,899,504
425280,6,443,160
70363136,376,272,688
76500198,402,687,277
63474852,734,174,497
61892784,262,772,306
13454910,49,339,810
3263660,662,493,10
561240365,959,805,727
45449940,141,710,454
80263008,756,184,577
184960204,827,572,391
13722900,298,50,921
66725568,208,402,798
26001360,240,231,469
139506048,909,218,704
13589470,59,310,743
382854835,929,649,635
85027320,322,405,652
25141584,43,937,624
239361185,469,991,515
254203965,789,457,705
29054796,529,276,199
478060400,850,916,614
284204295,515,757,729
107085160,949,182,620
5320669,137,547,71
78622775,869,517,175
32578875,675,197,245
161596188,643,358,702
224932050,505,505,882
86237300,454,725,262
33076875,125,345,767
4354610,205,559,38
90692187,349,291,893
13491072,56,336,717
305618544,616,641,774
7349859,297,339,73
1386693,253,203,27
7912500,633,50,250
6930880,358,44,440
220589957,953,301,769
117683688,431,367,744
413726586,986,609,689
199579182,479,642,649
224617788,508,657,673
51512400,900,82,698
28772178,514,141,397
22521380,98,670,343
207758628,462,581,774
209642352,503,912,457
4075500,660,325,19
111895245,751,385,387
29592192,109,606,448
936700,76,85,145
284729400,317,998,900
1559376,3,663,784
599992392,996,718,839
640966224,892,932,771
156216060,273,612,935
227898684,351,732,887
312193674,494,639,989
29696121,303,359,273
101807640,990,547,188
265516692,667,677,588
18436320,868,177,120
14203866,134,397,267
3984120,126,310,102
555193800,951,834,700
151389882,511,302,981
94907016,514,828,223
21078200,88,737,325
4241424,22,348,554
325262784,924,392,898
27700000,277,625,160
161723352,886,492,371
145941440,632,502,460
144992918,641,302,749
131164210,365,509,706
1751500,124,113,125
5629312,68,199,416
40684800,416,100,978
5784526,121,53,902
4726500,137,375,92
464364037,841,967,571
51395760,988,180,289
265796448,808,694,474
15761900,46,445,770
25196556,814,462,67
119468544,416,744,386
188360462,619,466,653
92536470,695,234,569
145001700,225,734,878
45628800,194,735,320
346588928,544,868,734
193477200,743,465,560
172942144,592,796,367
153986000,647,350,680
179056260,411,548,795
195067020,915,892,239
